date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2009-11-13,South Africa,England,New Wanderers Stadium,South Africa,field,England,0
2009-11-13,New Zealand,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,Pakistan,0
2009-11-15,South Africa,England,SuperSport Park,South Africa,bat,South Africa,1
2009-12-09,India,Sri Lanka,"Vidarbha Cricket Association Stadium, Jamtha",India,field,Sri Lanka,0
2009-12-12,India,Sri Lanka,"Punjab Cricket Association Stadium, Mohali",Sri Lanka,bat,India,1
2010-02-03,New Zealand,Bangladesh,Seddon Park,Bangladesh,bat,New Zealand,1
2010-02-05,Australia,Pakistan,Melbourne Cricket Ground,Australia,bat,Australia,1
2010-02-09,Canada,Netherlands,Dubai International Cricket Stadium,Canada,bat,Netherlands,0
2010-02-10,Canada,Kenya,Dubai International Cricket Stadium,Kenya,field,Kenya,0
2010-02-11,Ireland,Scotland,Dubai International Cricket Stadium,Ireland,bat,Ireland,1
2010-02-13,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,bat,Ireland,1
2010-02-19,England,Pakistan,Dubai International Cricket Stadium,Pakistan,bat,England,1
2010-02-20,England,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,0
2010-02-21,Australia,West Indies,Bellerive Oval,Australia,bat,Australia,1
2010-02-23,Australia,West Indies,Sydney Cricket Ground,West Indies,bat,Australia,1
2010-02-26,New Zealand,Australia,Westpac Stadium,New Zealand,bat,Australia,0
2010-02-28,West Indies,Zimbabwe,"Queen's Park Oval, Port of Spain",Zimbabwe,bat,Zimbabwe,0
2010-04-30,West Indies,Ireland,Providence Stadium,West Indies,bat,West Indies,1
2010-04-30,New Zealand,Sri Lanka,Providence Stadium,Sri Lanka,bat,New Zealand,1
2010-05-01,Bangladesh,Pakistan,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,0
2010-05-02,India,South Africa,"Beausejour Stadium, Gros Islet",South Africa,field,India,1
2010-05-02,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,bat,Australia,1
2010-05-03,West Indies,England,Providence Stadium,West Indies,field,West Indies,1
2010-05-03,Sri Lanka,Zimbabwe,Providence Stadium,Sri Lanka,bat,Sri Lanka,1
2010-05-04,New Zealand,Zimbabwe,Providence Stadium,New Zealand,field,New Zealand,1
2010-05-05,Australia,Bangladesh,"Kensington Oval, Bridgetown",Australia,bat,Australia,1
2010-05-06,England,Pakistan,"Kensington Oval, Bridgetown",England,field,England,1
2010-05-06,New Zealand,South Africa,"Kensington Oval, Bridgetown",South Africa,bat,South Africa,0
2010-05-07,West Indies,Sri Lanka,"Kensington Oval, Bridgetown",Sri Lanka,bat,Sri Lanka,0
2010-05-07,Australia,India,"Kensington Oval, Bridgetown",India,field,Australia,1
2010-05-08,New Zealand,Pakistan,"Kensington Oval, Bridgetown",Pakistan,field,New Zealand,1
2010-05-08,England,South Africa,"Kensington Oval, Bridgetown",England,bat,England,1
2010-05-09,West Indies,India,"Kensington Oval, Bridgetown",India,field,West Indies,1
2010-05-09,Australia,Sri Lanka,"Kensington Oval, Bridgetown",Australia,bat,Australia,1
2010-05-10,Pakistan,South Africa,"Beausejour Stadium, Gros Islet",Pakistan,bat,Pakistan,1
2010-05-10,England,New Zealand,"Beausejour Stadium, Gros Islet",New Zealand,bat,England,1
2010-05-11,India,Sri Lanka,"Beausejour Stadium, Gros Islet",India,bat,Sri Lanka,0
2010-05-11,West Indies,Australia,"Beausejour Stadium, Gros Islet",West Indies,bat,Australia,0
2010-05-13,England,Sri Lanka,"Beausejour Stadium, Gros Islet",Sri Lanka,bat,England,1
2010-05-14,Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,field,Australia,1
2010-05-16,Australia,England,"Kensington Oval, Bridgetown",England,field,England,0
2010-05-19,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,0
2010-05-20,West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,field,South Africa,0
