date,team_1,team_2,venue,toss_winner,toss_decision,winner,target
2018-12-20,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",West Indies,field,Bangladesh,1
2018-12-22,Bangladesh,West Indies,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,West Indies,0
2019-01-11,New Zealand,Sri Lanka,Eden Park,Sri Lanka,field,New Zealand,1
2019-01-31,United Arab Emirates,Nepal,ICC Academy,Nepal,field,United Arab Emirates,1
2019-02-01,South Africa,Pakistan,Newlands,Pakistan,field,South Africa,1
2019-02-01,United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,bat,Nepal,0
2019-02-03,United Arab Emirates,Nepal,ICC Academy,United Arab Emirates,field,Nepal,0
2019-02-03,South Africa,Pakistan,The Wanderers Stadium,Pakistan,field,South Africa,1
2019-02-06,South Africa,Pakistan,SuperSport Park,South Africa,field,Pakistan,0
2019-02-06,New Zealand,India,Westpac Stadium,India,field,New Zealand,1
2019-02-08,New Zealand,India,Eden Park,New Zealand,bat,India,0
2019-02-10,New Zealand,India,Seddon Park,India,field,New Zealand,1
2019-02-13,Netherlands,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,field,Netherlands,1
2019-02-13,Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Ireland,0
2019-02-15,Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,field,Netherlands,0
2019-02-15,Ireland,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,field,Scotland,0
2019-02-17,Oman,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,field,Scotland,0
2019-02-17,Ireland,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Ireland,1
2019-02-24,India,Australia,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Australia,field,Australia,0
2019-02-27,India,Australia,M.Chinnaswamy Stadium,Australia,field,Australia,0
2019-03-05,West Indies,England,"Darren Sammy National Cricket Stadium, St Lucia",England,field,England,0
2019-03-08,West Indies,England,"Warner Park, St Kitts",West Indies,field,England,0
2019-03-10,West Indies,England,"Warner Park, St Kitts",West Indies,bat,England,0
2019-03-16,United Arab Emirates,United States of America,ICC Academy,United Arab Emirates,bat,United Arab Emirates,1
2019-03-22,South Africa,Sri Lanka,SuperSport Park,Sri Lanka,field,South Africa,1
2019-03-22,Papua New Guinea,Philippines,Amini Park,Philippines,field,Papua New Guinea,1
2019-03-22,Papua New Guinea,Vanuatu,Amini Park,Vanuatu,bat,Papua New Guinea,1
2019-03-23,Philippines,Vanuatu,Amini Park,Vanuatu,bat,Vanuatu,0
2019-03-24,Philippines,Vanuatu,Amini Park,Vanuatu,field,Philippines,1
2019-03-24,South Africa,Sri Lanka,The Wanderers Stadium,Sri Lanka,field,South Africa,1
2019-03-24,Papua New Guinea,Vanuatu,Amini Park,Vanuatu,bat,Papua New Guinea,1
2019-05-05,England,Pakistan,Sophia Gardens,Pakistan,bat,England,1
2019-05-20,Ghana,Namibia,Kyambogo Cricket Oval,Namibia,field,Namibia,0
2019-05-20,Uganda,Botswana,Lugogo Cricket Oval,Botswana,field,Uganda,1
2019-05-21,Ghana,Kenya,Kyambogo Cricket Oval,Ghana,field,Kenya,0
2019-05-21,Uganda,Namibia,Kyambogo Cricket Oval,Namibia,bat,Namibia,0
2019-05-21,Botswana,Nigeria,Lugogo Cricket Oval,Nigeria,bat,Nigeria,0
2019-05-22,Ghana,Nigeria,Kyambogo Cricket Oval,Ghana,field,Nigeria,0
2019-05-22,Botswana,Namibia,Kyambogo Cricket Oval,Botswana,bat,Namibia,0
2019-05-22,Uganda,Kenya,Lugogo Cricket Oval,Kenya,bat,Kenya,0
2019-05-23,Uganda,Ghana,Kyambogo Cricket Oval,Ghana,bat,Uganda,1
2019-05-25,Germany,Italy,Sportpark Maarschalkerweerd,Italy,field,Italy,0
2019-06-15,Guernsey,Germany,King George V Sports Ground,Germany,field,Germany,0
2019-06-16,Jersey,Norway,King George V Sports Ground,Jersey,bat,Jersey,1
2019-06-16,Denmark,Jersey,King George V Sports Ground,Denmark,field,Jersey,0
2019-06-16,Guernsey,Italy,College Field,Guernsey,field,Italy,0
2019-06-17,Denmark,Norway,King George V Sports Ground,Denmark,bat,Denmark,1
2019-06-19,Guernsey,Norway,King George V Sports Ground,Guernsey,field,Guernsey,1
2019-06-19,Italy,Jersey,College Field,Italy,field,Jersey,0
2019-06-19,Denmark,Germany,King George V Sports Ground,Germany,field,Germany,0
2019-06-20,Denmark,Italy,King George V Sports Ground,Denmark,bat,Denmark,1
2019-06-20,Germany,Norway,College Field,Germany,field,Germany,1
2019-06-20,Germany,Jersey,College Field,Germany,field,Germany,1
2019-06-20,Guernsey,Denmark,King George V Sports Ground,Denmark,field,Guernsey,1
2019-06-23,Netherlands,Zimbabwe,Hazelaarweg,Zimbabwe,field,Netherlands,1
2019-06-24,Malaysia,Thailand,Kinrara Academy Oval,Malaysia,field,Malaysia,1
2019-06-26,Maldives,Thailand,Kinrara Academy Oval,Thailand,bat,Maldives,1
2019-06-27,Malaysia,Thailand,Kinrara Academy Oval,Thailand,bat,Malaysia,1
2019-06-29,Maldives,Thailand,Kinrara Academy Oval,Thailand,field,Thailand,0
2019-07-12,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason",Ireland,field,Ireland,1
2019-07-13,Malaysia,Nepal,Kinrara Academy Oval,Malaysia,bat,Nepal,0
2019-07-14,Ireland,Zimbabwe,Bready,Zimbabwe,field,Zimbabwe,0
2019-07-14,Malaysia,Nepal,Kinrara Academy Oval,Nepal,bat,Nepal,0
2019-07-22,Singapore,Qatar,Indian Association Ground,Singapore,bat,Singapore,1
2019-07-22,Kuwait,Malaysia,Indian Association Ground,Malaysia,bat,Malaysia,0
2019-07-23,Nepal,Qatar,Indian Association Ground,Nepal,bat,Qatar,0
2019-07-24,Malaysia,Nepal,Indian Association Ground,Nepal,field,Nepal,0
2019-07-26,Singapore,Malaysia,Indian Association Ground,Malaysia,bat,Singapore,1
2019-07-26,Kuwait,Qatar,Indian Association Ground,Qatar,field,Kuwait,1
2019-07-27,Kuwait,Nepal,Indian Association Ground,Nepal,field,Nepal,0
2019-07-27,Malaysia,Qatar,Indian Association Ground,Malaysia,bat,Qatar,0
2019-07-28,Singapore,Nepal,Indian Association Ground,Singapore,bat,Singapore,1
2019-08-03,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,field,India,1
2019-08-04,India,West Indies,Central Broward Regional Park Stadium Turf Ground,India,bat,India,1
2019-08-05,Netherlands,United Arab Emirates,VRA Ground,United Arab Emirates,field,United Arab Emirates,0
2019-08-06,West Indies,India,"Providence Stadium, Guyana",India,field,India,0
2019-08-08,Netherlands,United Arab Emirates,Sportpark Westvliet,Netherlands,bat,United Arab Emirates,0
2019-08-18,Bermuda,United States of America,"White Hill Field, Sandys Parish",Bermuda,bat,Bermuda,1
2019-08-18,Canada,Cayman Islands,"White Hill Field, Sandys Parish",Canada,bat,Canada,1
2019-08-19,Namibia,Botswana,United Cricket Club Ground,Botswana,field,Namibia,1
2019-08-19,Cayman Islands,United States of America,National Stadium,United States of America,field,United States of America,0
2019-08-20,Namibia,Botswana,United Cricket Club Ground,Botswana,field,Namibia,1
2019-08-21,Bermuda,Cayman Islands,"White Hill Field, Sandys Parish",Cayman Islands,bat,Bermuda,1
2019-08-21,Canada,United States of America,"White Hill Field, Sandys Parish",United States of America,bat,Canada,1
2019-08-22,Canada,Cayman Islands,"White Hill Field, Sandys Parish",Canada,field,Canada,1
2019-08-22,United States of America,Bermuda,Bermuda National Stadium,Bermuda,field,Bermuda,0
2019-08-22,Namibia,Botswana,United Cricket Club Ground,Namibia,bat,Namibia,1
2019-08-23,Namibia,Botswana,United Cricket Club Ground,Botswana,bat,Namibia,1
2019-08-24,Cayman Islands,United States of America,"White Hill Field, Sandys Parish",Cayman Islands,bat,United States of America,0
2019-08-25,Canada,United States of America,"White Hill Field, Sandys Parish",United States of America,field,Canada,1
2019-08-25,Bermuda,Cayman Islands,"White Hill Field, Sandys Parish",Cayman Islands,bat,Bermuda,1
2019-09-01,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,New Zealand,0
2019-09-03,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,New Zealand,0
2019-09-06,Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,1
2019-09-13,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh,1
2019-09-16,Netherlands,Scotland,"The Village, Malahide",Netherlands,field,Scotland,0
2019-09-17,Ireland,Scotland,"The Village, Malahide",Scotland,bat,Ireland,1
2019-09-18,India,South Africa,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,field,India,1
2019-09-18,Bangladesh,Zimbabwe,Zahur Ahmed Chowdhury Stadium,Zimbabwe,field,Bangladesh,1
2019-09-18,Ireland,Netherlands,"The Village, Malahide",Ireland,bat,Netherlands,0
2019-09-19,Netherlands,Scotland,"The Village, Malahide",Netherlands,bat,Scotland,0
2019-09-22,India,South Africa,M.Chinnaswamy Stadium,India,bat,South Africa,0
2019-09-27,Nepal,Zimbabwe,Indian Association Ground,Nepal,bat,Zimbabwe,0
2019-09-28,Singapore,Nepal,Indian Association Ground,Singapore,bat,Nepal,0
2019-09-29,Singapore,Zimbabwe,Indian Association Ground,Singapore,bat,Singapore,1
2019-09-29,Malaysia,Vanuatu,Kinrara Academy Oval,Vanuatu,bat,Vanuatu,0
2019-10-01,Nepal,Zimbabwe,Indian Association Ground,Nepal,field,Zimbabwe,0
2019-10-01,Malaysia,Vanuatu,Kinrara Academy Oval,Vanuatu,bat,Vanuatu,0
2019-10-02,Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,Malaysia,1
2019-10-03,Singapore,Zimbabwe,Indian Association Ground,Zimbabwe,field,Zimbabwe,0
2019-10-03,Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,Vanuatu,0
2019-10-04,Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,Malaysia,1
2019-10-05,Pakistan,Sri Lanka,Gaddafi Stadium,Pakistan,field,Sri Lanka,0
2019-10-05,Ireland,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Ireland,1
2019-10-06,Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Oman,1
2019-10-06,Hong Kong,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Nepal,0
2019-10-07,Nepal,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Nepal,1
2019-10-07,Hong Kong,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,Ireland,0
2019-10-07,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,Sri Lanka,0
2019-10-09,Ireland,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,Ireland,1
2019-10-09,Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,bat,Oman,1
2019-10-09,Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,Sri Lanka,0
2019-10-10,Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,1
2019-10-10,Hong Kong,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,field,Netherlands,0
2019-10-18,Kenya,Netherlands,ICC Academy,Netherlands,bat,Netherlands,0
2019-10-18,United Arab Emirates,Oman,Sheikh Zayed Stadium,Oman,field,Oman,0
2019-10-18,Scotland,Singapore,ICC Academy,Scotland,field,Singapore,0
2019-10-18,Hong Kong,Ireland,Sheikh Zayed Stadium,Hong Kong,bat,Ireland,0
2019-10-19,Bermuda,Papua New Guinea,ICC Academy,Papua New Guinea,field,Papua New Guinea,0
2019-10-19,Jersey,Nigeria,Sheikh Zayed Stadium,Jersey,bat,Jersey,1
2019-10-19,Namibia,Netherlands,ICC Academy,Netherlands,bat,Netherlands,0
2019-10-19,Kenya,Scotland,ICC Academy Ground No 2,Scotland,bat,Scotland,0
2019-10-19,United Arab Emirates,Ireland,Sheikh Zayed Stadium,United Arab Emirates,field,United Arab Emirates,1
2019-10-20,Namibia,Papua New Guinea,ICC Academy Ground No 2,Papua New Guinea,bat,Papua New Guinea,0
2019-10-20,Canada,Jersey,Tolerance Oval,Jersey,field,Canada,1
2019-10-20,Bermuda,Singapore,ICC Academy Ground No 2,Bermuda,bat,Singapore,0
2019-10-20,Hong Kong,Oman,Sheikh Zayed Stadium,Oman,field,Oman,0
2019-10-21,Canada,Nigeria,Sheikh Zayed Stadium,Canada,bat,Canada,1
2019-10-21,Bermuda,Kenya,ICC Academy,Kenya,bat,Kenya,0
2019-10-21,United Arab Emirates,Hong Kong,Sheikh Zayed Stadium,Hong Kong,bat,United Arab Emirates,1
2019-10-21,Papua New Guinea,Scotland,ICC Academy,Scotland,bat,Scotland,0
2019-10-21,Ireland,Oman,Tolerance Oval,Oman,field,Ireland,1
2019-10-22,Namibia,Scotland,ICC Academy,Namibia,bat,Namibia,1
2019-10-22,Netherlands,Singapore,ICC Academy,Singapore,bat,Netherlands,1
2019-10-22,United Arab Emirates,Jersey,Tolerance Oval,Jersey,bat,Jersey,0
2019-10-23,Bermuda,Namibia,ICC Academy Ground No 2,Namibia,field,Namibia,0
2019-10-23,Nigeria,Oman,Tolerance Oval,Nigeria,bat,Oman,0
2019-10-23,Kenya,Singapore,ICC Academy Ground No 2,Singapore,bat,Kenya,1
2019-10-23,Canada,Ireland,Sheikh Zayed Stadium,Canada,bat,Canada,1
2019-10-23,Hong Kong,Jersey,Sheikh Zayed Stadium,Hong Kong,bat,Hong Kong,1
2019-10-24,Bermuda,Scotland,Dubai International Cricket Stadium,Bermuda,field,Scotland,0
2019-10-24,Canada,Hong Kong,Tolerance Oval,Hong Kong,bat,Hong Kong,0
2019-10-24,Netherlands,Papua New Guinea,ICC Academy,Netherlands,bat,Papua New Guinea,0
2019-10-24,United Arab Emirates,Nigeria,Tolerance Oval,United Arab Emirates,field,United Arab Emirates,1
2019-10-25,Papua New Guinea,Singapore,Dubai International Cricket Stadium,Singapore,field,Papua New Guinea,1
2019-10-25,Ireland,Jersey,Tolerance Oval,Ireland,field,Ireland,1
2019-10-25,Kenya,Namibia,Dubai International Cricket Stadium,Namibia,bat,Namibia,0
2019-10-25,Canada,Oman,Sheikh Zayed Stadium,Canada,bat,Oman,0
2019-10-25,Spain,Portugal,La Manga Club Bottom Ground,Spain,field,Spain,1
2019-10-26,Spain,Gibraltar,La Manga Club Bottom Ground,Spain,field,Spain,1
2019-10-26,Spain,Portugal,La Manga Club Bottom Ground,Portugal,field,Spain,1
2019-10-26,Gibraltar,Portugal,La Manga Club Bottom Ground,Gibraltar,bat,Portugal,0
2019-10-26,Bermuda,Netherlands,Dubai International Cricket Stadium,Netherlands,bat,Netherlands,0
2019-10-26,Ireland,Nigeria,Sheikh Zayed Stadium,Nigeria,bat,Ireland,1
2019-10-26,Namibia,Singapore,Dubai International Cricket Stadium,Singapore,field,Namibia,1
2019-10-27,United Arab Emirates,Canada,Sheikh Zayed Stadium,Canada,field,United Arab Emirates,1
2019-10-27,Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,Australia,1
2019-10-27,Kenya,Papua New Guinea,Dubai International Cricket Stadium,Kenya,field,Papua New Guinea,0
2019-10-27,Hong Kong,Nigeria,Tolerance Oval,Nigeria,bat,Hong Kong,1
2019-10-27,Jersey,Oman,Sheikh Zayed Stadium,Oman,field,Jersey,1
2019-10-27,Netherlands,Scotland,Dubai International Cricket Stadium,Netherlands,field,Netherlands,1
2019-10-27,Spain,Gibraltar,La Manga Club Bottom Ground,Spain,field,Spain,1
2019-10-29,Namibia,Oman,Dubai International Cricket Stadium,Namibia,bat,Namibia,1
2019-10-29,United Arab Emirates,Netherlands,Dubai International Cricket Stadium,United Arab Emirates,bat,Netherlands,0
2019-10-30,United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,bat,Scotland,0
2019-10-30,Hong Kong,Oman,Dubai International Cricket Stadium,Oman,bat,Oman,0
2019-10-30,Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia,1
2019-10-31,Oman,Scotland,ICC Academy,Oman,bat,Scotland,0
2019-11-01,Australia,Sri Lanka,Melbourne Cricket Ground,Australia,field,Australia,1
2019-11-01,New Zealand,England,Hagley Oval,England,field,England,0
2019-11-01,Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,field,Netherlands,0
2019-11-01,Namibia,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,bat,Papua New Guinea,0
2019-11-02,Ireland,Namibia,Dubai International Cricket Stadium,Ireland,bat,Ireland,1
2019-11-02,Netherlands,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,bat,Netherlands,1
2019-11-03,India,Bangladesh,Arun Jaitley Stadium,Bangladesh,field,Bangladesh,0
2019-11-03,New Zealand,England,Westpac Stadium,England,field,New Zealand,1
2019-11-05,New Zealand,England,Saxton Oval,New Zealand,bat,New Zealand,1
2019-11-05,Australia,Pakistan,Manuka Oval,Pakistan,bat,Australia,1
2019-11-07,India,Bangladesh,Saurashtra Cricket Association Stadium,India,field,India,1
2019-11-08,Australia,Pakistan,Perth Stadium,Australia,field,Australia,1
2019-11-08,New Zealand,England,McLean Park,New Zealand,field,England,0
2019-11-10,India,Bangladesh,"Vidarbha Cricket Association Stadium, Jamtha",Bangladesh,field,India,1
2019-12-05,Nepal,Bhutan,Tribhuvan University International Cricket Ground,Bhutan,field,Nepal,1
2019-12-06,India,West Indies,"Rajiv Gandhi International Stadium, Uppal",India,field,India,1
2019-12-06,Nepal,Maldives,Tribhuvan University International Cricket Ground,Nepal,bat,Nepal,1
2019-12-07,Bhutan,Maldives,Tribhuvan University International Cricket Ground,Maldives,field,Maldives,0
2019-12-08,India,West Indies,Greenfield International Stadium,West Indies,field,West Indies,0
2019-12-09,Nepal,Maldives,Tribhuvan University International Cricket Ground,Nepal,field,Nepal,1
2019-12-11,India,West Indies,Wankhede Stadium,West Indies,field,India,1
2020-01-07,India,Sri Lanka,Holkar Cricket Stadium,India,field,India,1
2020-01-10,India,Sri Lanka,Maharashtra Cricket Association Stadium,Sri Lanka,field,India,1
2020-01-15,West Indies,Ireland,"National Cricket Stadium, Grenada",Ireland,bat,Ireland,0
2020-01-19,West Indies,Ireland,"Warner Park, St Kitts",West Indies,field,West Indies,1
2020-01-24,New Zealand,India,Eden Park,India,field,India,0
2020-01-24,Pakistan,Bangladesh,Gaddafi Stadium,Bangladesh,bat,Pakistan,1
2020-01-25,Pakistan,Bangladesh,Gaddafi Stadium,Bangladesh,bat,Pakistan,1
2020-01-26,New Zealand,India,Eden Park,New Zealand,bat,India,0
2020-02-02,New Zealand,India,Bay Oval,India,bat,India,0
2020-02-12,South Africa,England,Buffalo Park,England,field,South Africa,1
2020-02-14,South Africa,England,Kingsmead,South Africa,field,England,0
2020-02-16,South Africa,England,SuperSport Park,South Africa,bat,England,0
2020-02-20,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,1
2020-02-21,South Africa,Australia,The Wanderers Stadium,South Africa,field,Australia,0
2020-02-21,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,1
2020-02-23,South Africa,Australia,St George's Park,South Africa,bat,South Africa,1
2020-02-23,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,1
2020-02-24,Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,1
2020-02-25,Oman,Maldives,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,1
2020-02-25,Saudi Arabia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,United Arab Emirates,0
2020-02-25,Bahrain,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,bat,Bahrain,1
2020-02-25,Iran,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,Kuwait,0
2020-02-26,Qatar,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,United Arab Emirates,0
2020-02-26,Kuwait,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,Kuwait,1
2020-02-26,Malaysia,Hong Kong,Kinrara Academy Oval,Hong Kong,bat,Malaysia,1
2020-02-26,South Africa,Australia,Newlands,South Africa,field,Australia,0
2020-02-27,Kuwait,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,field,United Arab Emirates,0
2020-02-29,Thailand,Singapore,Terdthai Cricket Ground,Thailand,field,Singapore,0
2020-03-01,Hong Kong,Nepal,Terdthai Cricket Ground,Nepal,field,Hong Kong,1
2020-03-01,Thailand,Malaysia,Terdthai Cricket Ground,Thailand,bat,Malaysia,0
2020-03-03,Malaysia,Singapore,Terdthai Cricket Ground,Singapore,bat,Singapore,0
2020-03-03,Thailand,Hong Kong,Terdthai Cricket Ground,Thailand,bat,Hong Kong,0
2020-03-04,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,bat,West Indies,0
2020-03-04,Thailand,Nepal,Terdthai Cricket Ground,Thailand,bat,Nepal,0
2020-03-04,Hong Kong,Singapore,Terdthai Cricket Ground,Singapore,bat,Singapore,0
2020-03-06,Hong Kong,Malaysia,Terdthai Cricket Ground,Malaysia,bat,Hong Kong,1
2020-03-06,Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,field,West Indies,0
2020-03-08,Spain,Germany,Desert Springs Cricket Ground,Spain,field,Spain,1
2020-03-08,Spain,Germany,Desert Springs Cricket Ground,Spain,field,Germany,0
2020-03-09,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Bangladesh,1
2020-03-11,Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh,1
2020-08-21,Isle of Man,Guernsey,College Field,Isle of Man,bat,Guernsey,0
2020-08-29,Belgium,Luxembourg,Pierre Werner Cricket Ground,Belgium,bat,Belgium,1
2020-08-30,Pakistan,England,Old Trafford,England,field,England,0
2020-08-30,Belgium,Czech Republic,Pierre Werner Cricket Ground,Belgium,bat,Belgium,1
2020-08-30,Belgium,Luxembourg,Pierre Werner Cricket Ground,Belgium,bat,Belgium,1
2020-09-01,Pakistan,England,Old Trafford,England,field,Pakistan,1
2020-09-04,England,Australia,The Rose Bowl,Australia,field,England,1
2020-09-06,Australia,England,The Rose Bowl,Australia,bat,England,0
2020-09-08,England,Australia,The Rose Bowl,Australia,field,Australia,0
2020-10-16,Bulgaria,Romania,Moara Vlasiei Cricket Ground,Bulgaria,bat,Bulgaria,1
2020-10-17,Romania,Bulgaria,Moara Vlasiei Cricket Ground,Romania,bat,Romania,1
2020-10-18,Bulgaria,Romania,Moara Vlasiei Cricket Ground,Bulgaria,bat,Romania,0
2020-11-07,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,Pakistan,0
2020-11-08,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,Pakistan,0
2020-11-10,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,Pakistan,0
2020-11-27,West Indies,New Zealand,Eden Park,New Zealand,field,New Zealand,0
2020-11-27,South Africa,England,Newlands,England,field,England,0
2020-11-29,South Africa,England,Boland Park,England,field,England,0
2020-11-29,New Zealand,West Indies,Bay Oval,West Indies,field,New Zealand,1
2020-12-01,South Africa,England,Newlands,South Africa,bat,England,0
2020-12-04,India,Australia,Manuka Oval,Australia,field,India,1
2020-12-06,Australia,India,Sydney Cricket Ground,India,field,India,0
2020-12-08,Australia,India,Sydney Cricket Ground,India,field,Australia,1
2020-12-18,Pakistan,New Zealand,Eden Park,Pakistan,bat,New Zealand,0
2020-12-20,Pakistan,New Zealand,Seddon Park,Pakistan,bat,New Zealand,0
2020-12-22,New Zealand,Pakistan,McLean Park,Pakistan,field,Pakistan,0
2021-02-11,Pakistan,South Africa,Gaddafi Stadium,South Africa,field,Pakistan,1
2021-02-13,Pakistan,South Africa,Gaddafi Stadium,South Africa,field,South Africa,0
2021-02-14,South Africa,Pakistan,Gaddafi Stadium,Pakistan,field,Pakistan,0
2021-02-22,New Zealand,Australia,Hagley Oval,Australia,field,New Zealand,1
2021-02-25,New Zealand,Australia,University Oval,Australia,field,New Zealand,1
2021-03-03,Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",West Indies,field,West Indies,0
2021-03-03,Australia,New Zealand,Westpac Stadium,New Zealand,field,Australia,1
2021-03-05,Australia,New Zealand,Westpac Stadium,Australia,bat,Australia,1
2021-03-05,Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,Sri Lanka,1
2021-03-07,Australia,New Zealand,Sky Stadium,Australia,bat,New Zealand,0
2021-03-07,Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,West Indies,0
2021-03-12,India,England,Narendra Modi Stadium,England,field,England,0
2021-03-14,England,India,Narendra Modi Stadium,India,field,India,0
2021-03-16,India,England,Narendra Modi Stadium,England,field,England,0
2021-03-18,India,England,Narendra Modi Stadium,England,field,India,1
2021-03-20,India,England,Narendra Modi Stadium,England,field,India,1
2021-03-28,New Zealand,Bangladesh,Seddon Park,New Zealand,bat,New Zealand,1
2021-03-30,New Zealand,Bangladesh,McLean Park,Bangladesh,field,New Zealand,1
2021-04-01,New Zealand,Bangladesh,Eden Park,Bangladesh,field,New Zealand,1
2021-04-03,Uganda,Namibia,Wanderers,Uganda,bat,Namibia,0
2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,1
2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,1
2021-04-10,South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",South Africa,bat,Pakistan,0
2021-04-12,Pakistan,South Africa,"The Wanderers Stadium, Johannesburg",Pakistan,bat,South Africa,0
2021-04-14,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,Pakistan,0
2021-04-16,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,Pakistan,0
2021-04-17,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal,0
2021-04-18,Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,1
2021-04-19,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal,0
2021-04-20,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Netherlands,0
2021-04-21,Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,field,Pakistan,1
2021-04-22,Nepal,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,field,Nepal,1
2021-04-23,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,Zimbabwe,1
2021-04-24,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Nepal,1
2021-04-25,Pakistan,Zimbabwe,Harare Sports Club,Pakistan,bat,Pakistan,1
