date,team_1,team_2,venue,toss_winner,toss_decision,winner,target,bat_first_won,team1_last6_wins,team2_last6_wins,team1_h2h_last10,team2_h2h_last10,venue_bat_first_win_rate,team1_elo,team2_elo
2007-12-11,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,Australia,1,1,3,2,1,0,0.5,1000.7710850665437,986.4376294823805
2007-12-16,South Africa,West Indies,St George's Park,West Indies,field,West Indies,0,0,5,1,1,0,0.5,1043.5680820947905,953.4518296632594
2008-01-18,South Africa,West Indies,New Wanderers Stadium,South Africa,field,South Africa,1,0,4,2,1,1,0.46153846153846156,1018.4938570307013,978.5260547273487
2008-02-01,Australia,India,Melbourne Cricket Ground,India,bat,Australia,1,0,3,5,0,2,0.5,1019.9464528190193,1097.3327719461286
2008-02-05,New Zealand,England,Eden Park,New Zealand,field,England,0,1,2,2,1,0,0.5,967.2622617299049,920.1864149119929
2008-02-07,New Zealand,England,Jade Stadium,England,bat,England,0,1,1,2,1,1,0.5,944.5688209223268,942.879855719571
2008-04-20,Pakistan,Bangladesh,National Stadium,Pakistan,bat,Pakistan,1,1,5,1,2,0,0.5,1110.5515660536594,948.6825829989843
2008-06-13,England,New Zealand,Old Trafford,England,field,England,1,0,2,0,2,1,0.5,962.977079606182,924.4715970357158
2008-06-20,West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,field,West Indies,1,0,2,3,0,0,0.5,960.8166909615276,1044.3289326424795
2008-08-03,Bermuda,Scotland,"Civil Service Cricket Club, Stormont",Scotland,field,Scotland,0,0,0,0,0,0,0.5,1000.0,983.2283301392431
2008-08-04,Ireland,Kenya,"Civil Service Cricket Club, Stormont",Ireland,field,Ireland,1,0,0,0,0,0,0.5,1000.0,929.8632468368407
2008-08-04,Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Netherlands,field,Netherlands,1,0,0,1,0,0,0.5,1000.0,1004.1930358430392
2008-10-11,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Pakistan,field,Pakistan,1,0,5,3,1,0,0.5,1121.8540117429466,1028.2023673108672
2008-10-13,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Sri Lanka,field,Sri Lanka,0,0,5,3,2,0,0.5,1136.5898700587654,1013.4665089950485
2008-11-05,South Africa,Bangladesh,New Wanderers Stadium,Bangladesh,field,South Africa,1,1,4,1,1,0,0.42857142857142855,1036.2032207965224,937.3801373096971
2008-12-28,New Zealand,West Indies,Seddon Park,New Zealand,bat,New Zealand,1,1,0,2,0,0,0.5,906.6791200117798,985.533548743031
2009-01-11,Australia,South Africa,Melbourne Cricket Ground,Australia,bat,Australia,1,1,3,4,1,1,0.5,1019.612074860976,1050.6631121893088
2009-01-13,Australia,South Africa,"Brisbane Cricket Ground, Woolloongabba",South Africa,bat,Australia,1,0,3,3,2,1,0.5,1041.3947724251746,1028.8804146251102
2009-02-10,Sri Lanka,India,R Premadasa Stadium,Sri Lanka,bat,India,0,0,3,5,0,0,0.5,1040.2715494232245,1072.9502921226683
2009-02-15,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,Australia,1,1,4,1,2,0,0.5,1060.6746994589894,931.1419782832016
2009-02-25,New Zealand,India,AMI Stadium,New Zealand,field,New Zealand,1,0,1,5,1,0,0.5,918.2711854695622,1091.0746802202816
2009-02-27,New Zealand,India,Westpac Stadium,New Zealand,field,New Zealand,1,0,2,4,2,0,0.5,947.4720866062418,1061.873779083602
2009-03-15,West Indies,England,"Queen's Park Oval, Port of Spain",West Indies,field,West Indies,1,0,2,3,1,1,0.5,961.0706904716092,980.769556630118
2009-03-27,South Africa,Australia,New Wanderers Stadium,South Africa,field,South Africa,1,0,3,5,1,3,0.4666666666666667,1009.6004875912954,1073.5454922726287
2009-03-29,South Africa,Australia,SuperSport Park,Australia,field,South Africa,1,1,3,4,2,3,0.5,1033.240450608405,1049.9055292555192
2009-05-07,Australia,Pakistan,Dubai International Cricket Stadium,Pakistan,field,Pakistan,0,0,3,4,0,1,0.5,1028.9469452496025,1109.7848296305895
2009-06-05,England,Netherlands,Lord's,Netherlands,field,Netherlands,0,0,3,1,0,0,0.5,959.6368122736147,1020.2413588278592
2009-06-06,Bangladesh,India,Trent Bridge,India,bat,India,0,1,0,3,0,0,0.5,922.9202459169107,1035.5164037250574
2009-06-06,New Zealand,Scotland,Kennington Oval,New Zealand,field,New Zealand,1,0,3,1,0,0,0.5,973.8294619647862,983.9516770151799
2009-06-06,Australia,West Indies,Kennington Oval,Australia,bat,West Indies,0,0,3,3,0,1,0.5,1013.5181560180235,982.2034348281124
2009-06-07,Scotland,South Africa,Kennington Oval,Scotland,field,South Africa,0,1,1,4,0,0,0.5,963.3691602810973,1054.1990346143216
2009-06-07,England,Pakistan,Kennington Oval,Pakistan,field,England,1,1,3,4,0,1,0.5,943.0905322648543,1125.2136188621685
2009-06-08,Bangladesh,Ireland,Trent Bridge,Ireland,field,Ireland,0,0,0,1,0,0,0.5,909.1840342355994,1016.0165676771765
2009-06-08,Australia,Sri Lanka,Trent Bridge,Sri Lanka,field,Sri Lanka,0,0,2,2,1,0,0.5,991.7204012085605,1022.1471613256113
2009-06-09,Netherlands,Pakistan,Lord's,Pakistan,bat,Pakistan,0,1,2,3,0,0,0.5,1036.7876388366196,1095.5950345302304
2009-06-09,New Zealand,South Africa,Lord's,New Zealand,field,South Africa,0,1,4,4,1,2,0.5,994.4119786988689,1069.0863944990601
2009-06-10,India,Ireland,Trent Bridge,India,field,India,1,0,3,2,0,0,0.5,1049.2526154063687,1030.0535517295098
2009-06-10,Sri Lanka,West Indies,Trent Bridge,West Indies,field,Sri Lanka,1,1,3,4,0,0,0.5,1040.4001202040113,1004.0011896375755
